    x[mm]      y[mm]      z[mm]      beta[deg]
    4944.855    -969.432    -950.751      -2.289
    4949.688    -970.379    -951.614      -2.229
    4954.521    -971.326    -952.478      -2.169
    4959.354    -972.273    -953.342      -2.108
    4964.187    -973.220    -954.206      -2.049
    4969.020    -974.167    -955.070      -1.989
    4973.853    -975.115    -955.934      -1.929
    4978.686    -976.062    -956.798      -1.870
    4983.519    -977.009    -957.662      -1.810
    4988.351    -977.956    -958.526      -1.751
    4993.184    -978.903    -959.389      -1.692
    4998.017    -979.850    -960.253      -1.633
    5002.850    -980.797    -961.117      -1.574
    5007.683    -981.744    -961.981      -1.516
    5012.516    -982.691    -962.845      -1.457
    5017.349    -983.638    -963.709      -1.398
    5022.182    -984.585    -964.573      -1.340
    5027.015    -985.532    -965.437      -1.282
    5031.847    -986.479    -966.300      -1.223
    5036.680    -987.426    -967.164      -1.165
    5041.513    -988.373    -968.028      -1.107
    5046.346    -989.320    -968.892      -1.049
    5051.179    -990.267    -969.756      -0.991
    5056.012    -991.214    -970.620      -0.934
    5060.845    -992.161    -971.484      -0.876
    5065.678    -993.108    -972.348      -0.818
    5070.511    -994.055    -973.211      -0.761
    5075.343    -995.003    -974.075      -0.703
    5080.176    -995.950    -974.939      -0.646
    5085.009    -996.897    -975.803      -0.589
    5089.842    -997.844    -976.667      -0.531
    5094.675    -998.791    -977.531      -0.474
    5099.508    -999.738    -978.395      -0.417
    5104.341   -1000.685    -979.259      -0.361
    5109.174   -1001.632    -980.122      -0.304
    5114.007   -1002.579    -980.986      -0.247
    5118.839   -1003.526    -981.850      -0.190
    5123.672   -1004.473    -982.714      -0.134
    5128.505   -1005.420    -983.578      -0.077
    5133.338   -1006.367    -984.442      -0.021
    5138.171   -1007.314    -985.306       0.035
    5143.004   -1008.261    -986.169       0.091
    5147.837   -1009.208    -987.033       0.147
    5152.670   -1010.155    -987.897       0.203
    5157.503   -1011.102    -988.761       0.259
    5162.335   -1012.049    -989.625       0.315
    5167.168   -1012.996    -990.489       0.370
    5172.001   -1013.943    -991.352       0.426
    5176.834   -1014.891    -992.216       0.481
    5181.667   -1015.838    -993.080       0.536
    5186.500   -1016.785    -993.944       0.591
    5191.333   -1017.732    -994.808       0.647
    5196.166   -1018.679    -995.672       0.701
    5200.999   -1019.626    -996.536       0.756
    5205.832   -1020.573    -997.399       0.811
    5210.664   -1021.520    -998.263       0.865
    5215.497   -1022.467    -999.127       0.920
    5220.330   -1023.414    -999.991       0.974
    5225.163   -1024.361   -1000.855       1.028
    5229.996   -1025.308   -1001.719       1.083
    5234.829   -1026.255   -1002.582       1.137
    5239.662   -1027.202   -1003.446       1.190
    5244.495   -1028.149   -1004.310       1.244
    5249.328   -1029.096   -1005.174       1.298
    5254.161   -1030.043   -1006.038       1.351
    5258.993   -1030.990   -1006.901       1.405
    5263.826   -1031.937   -1007.765       1.458
    5268.659   -1032.884   -1008.629       1.511
    5273.492   -1033.831   -1009.493       1.564
    5278.325   -1034.779   -1010.357       1.617
    5283.158   -1035.726   -1011.221       1.670
    5287.991   -1036.673   -1012.084       1.722
    5292.824   -1037.620   -1012.948       1.775
    5297.657   -1038.567   -1013.812       1.827
    5302.489   -1039.514   -1014.676       1.880
    5307.322   -1040.461   -1015.540       1.932
    5312.155   -1041.408   -1016.404       1.984
    5316.988   -1042.355   -1017.267       2.036
    5321.821   -1043.302   -1018.131       2.088
    5326.654   -1044.249   -1018.995       2.140
    5331.487   -1045.196   -1019.859       2.192
    5336.320   -1046.143   -1020.723       2.243
    5341.153   -1047.090   -1021.586       2.295
    5345.986   -1048.037   -1022.450       2.346
    5350.818   -1048.984   -1023.314       2.398
    5355.651   -1049.931   -1024.178       2.449
    5360.484   -1050.878   -1025.042       2.500
    5365.317   -1051.825   -1025.905       2.551
    5370.150   -1052.772   -1026.769       2.602
    5374.983   -1053.720   -1027.633       2.653
    5379.816   -1054.667   -1028.497       2.704
    5384.649   -1055.614   -1029.361       2.755
    5389.482   -1056.561   -1030.224       2.806
    5394.315   -1057.508   -1031.088       2.857
    5399.148   -1058.455   -1031.952       2.908
    5403.980   -1059.402   -1032.816       2.959
    5408.813   -1060.349   -1033.680       3.009
    5413.646   -1061.296   -1034.543       3.060
    5418.479   -1062.243   -1035.407       3.111
    5423.312   -1063.190   -1036.271       3.161
    5428.145   -1064.137   -1037.135       3.212
    5432.978   -1065.084   -1037.999       3.263
    5437.811   -1066.031   -1038.862       3.314
    5442.644   -1066.978   -1039.726       3.364
    5447.477   -1067.925   -1040.590       3.415
    5452.309   -1068.872   -1041.454       3.466
    5457.142   -1069.819   -1042.318       3.517
    5461.975   -1070.766   -1043.181       3.567
    5466.808   -1071.713   -1044.045       3.618
    5471.641   -1072.661   -1044.909       3.669
    5476.474   -1073.608   -1045.773       3.720
    5481.307   -1074.555   -1046.636       3.771
    5486.140   -1075.502   -1047.500       3.823
    5490.973   -1076.449   -1048.364       3.874
    5495.806   -1077.396   -1049.228       3.925
    5499.444   -1078.109   -1049.878       3.964
