    x[mm]      y[mm]      z[mm]      beta[deg]
    5584.385    1568.647    -706.221       8.550
    5589.207    1569.967    -706.226       8.392
    5594.030    1571.287    -706.232       8.234
    5598.853    1572.607    -706.238       8.076
    5603.675    1573.928    -706.244       7.917
    5608.498    1575.248    -706.249       7.758
    5613.320    1576.568    -706.255       7.599
    5618.143    1577.888    -706.261       7.440
    5622.966    1579.208    -706.266       7.281
    5627.788    1580.528    -706.272       7.121
    5632.611    1581.848    -706.278       6.962
    5637.433    1583.168    -706.283       6.802
    5642.256    1584.488    -706.289       6.642
    5647.079    1585.808    -706.295       6.483
    5651.901    1587.128    -706.300       6.323
    5656.724    1588.448    -706.306       6.163
    5661.546    1589.768    -706.312       6.003
    5666.369    1591.088    -706.317       5.844
    5671.191    1592.409    -706.323       5.684
    5676.014    1593.729    -706.328       5.524
    5680.837    1595.049    -706.334       5.364
    5685.659    1596.369    -706.340       5.204
    5690.482    1597.689    -706.345       5.044
    5695.304    1599.009    -706.351       4.885
    5700.127    1600.329    -706.356       4.725
    5704.950    1601.649    -706.362       4.565
    5709.772    1602.969    -706.367       4.406
    5714.595    1604.289    -706.373       4.246
    5719.417    1605.609    -706.378       4.086
    5724.240    1606.929    -706.384       3.927
    5729.063    1608.249    -706.389       3.767
    5733.885    1609.569    -706.395       3.608
    5738.708    1610.889    -706.400       3.449
    5743.530    1612.209    -706.406       3.289
    5748.353    1613.530    -706.411       3.130
    5753.176    1614.850    -706.417       2.971
    5757.998    1616.170    -706.422       2.812
    5762.821    1617.490    -706.428       2.653
    5767.643    1618.810    -706.433       2.494
    5772.466    1620.130    -706.438       2.335
    5777.289    1621.450    -706.444       2.176
    5782.111    1622.770    -706.449       2.017
    5786.934    1624.090    -706.455       1.859
    5791.756    1625.410    -706.460       1.700
    5796.579    1626.730    -706.465       1.542
    5801.402    1628.050    -706.471       1.383
    5806.224    1629.370    -706.476       1.225
    5811.047    1630.690    -706.481       1.067
    5813.948    1631.484    -706.485       0.972
